date,adj_close,ret_1d,buy_hold_signal,buy_hold_position,buy_hold_ret,equity_buy_hold,ma_200_filter_signal,ma_200_filter_position,ma_200_filter_ret,equity_ma_200_filter,vix_pct_filter_signal,vix_pct_filter_position,vix_pct_filter_ret,equity_vix_pct_filter,vrp_pct_filter_signal,vrp_pct_filter_position,vrp_pct_filter_ret,equity_vrp_pct_filter,combined_filter_signal,combined_filter_position,combined_filter_ret,equity_combined_filter
2015-11-12,172.1125946044922,-0.01395990405674774,1.0,1.0,-0.01395990405674774,1.1581495752326174,0.0,1.0,-0.01395990405674774,1.0849551590570483,1.0,1.0,-0.01395990405674774,0.9636109663930079,0.0,1.0,-0.01395990405674774,0.9534956948348684,0.0,1.0,-0.01395990405674774,0.9251228039739385
2015-11-13,170.18008422851562,-0.011228175255956097,1.0,1.0,-0.011228175255956097,1.1451456688292945,0.0,0.0,-0.0002,1.084738168025237,0.0,1.0,-0.011228175255956097,0.952791373583786,0.0,0.0,-0.0002,0.9533049956959014,0.0,0.0,-0.0002,0.9249377794131438
2015-11-16,172.76800537109375,0.015206956526728987,1.0,1.0,0.015206956526728987,1.1625598492319535,1.0,0.0,0.0,1.084738168025237,1.0,0.0,-0.0002,0.9526008153090693,0.0,0.0,0.0,0.9533049956959014,0.0,0.0,0.0,0.9249377794131438
2015-11-17,172.64193725585938,-0.0007296959582510087,1.0,1.0,-0.0007296959582510087,1.161711534008744,1.0,1.0,-0.0009296959582510087,1.0837296913346635,1.0,1.0,-0.0009296959582510087,0.9517151861812498,0.0,0.0,-0.0,0.9533049956959014,0.0,0.0,-0.0,0.9249377794131438
2015-11-18,175.38107299804688,0.01586599285043966,1.0,1.0,0.01586599285043966,1.1801432409016002,1.0,1.0,0.01586599285043966,1.1009241388691884,1.0,1.0,0.01586599285043966,0.9668150925208564,1.0,0.0,0.0,0.9533049956959014,1.0,0.0,0.0,0.9249377794131438
2015-11-19,175.22988891601562,-0.0008620319139736043,1.0,1.0,-0.0008620319139736043,1.1791259197648827,1.0,1.0,-0.0008620319139736043,1.0999751071266193,1.0,1.0,-0.0008620319139736043,0.965981667056192,1.0,1.0,-0.0010620319139736044,0.952292555366722,1.0,1.0,-0.0010620319139736044,0.9239554659729672
2015-11-20,175.8684539794922,0.0036441560707867193,1.0,1.0,0.0036441560707867193,1.1834228386436159,1.0,1.0,0.0036441560707867193,1.103983588090969,1.0,1.0,0.0036441560707867193,0.9695018550124636,1.0,1.0,0.0036441560707867193,0.9557628580635266,1.0,1.0,0.0036441560707867193,0.9273225038934292
2015-11-23,175.66677856445312,-0.0011467401371628716,1.0,1.0,-0.0011467401371628716,1.182065760175308,1.0,1.0,-0.0011467401371628716,1.1027176057997359,1.0,1.0,-0.0011467401371628716,0.9683900883222669,1.0,1.0,-0.0011467401371628716,0.9546668464325756,1.0,1.0,-0.0011467401371628716,0.9262591059581202
2015-11-24,175.90203857421875,0.0013392401892273753,1.0,1.0,0.0013392401892273753,1.1836488301476444,1.0,1.0,0.0013392401892273753,1.1041944095347915,1.0,1.0,0.0013392401892273753,0.9696869952473975,1.0,1.0,0.0013392401892273753,0.9559453746406411,1.0,1.0,0.0013392401892273753,0.9274995893784571
2015-11-25,175.8768768310547,-0.0001430440679824896,1.0,1.0,-0.0001430440679824896,1.1834795162039173,1.0,1.0,-0.0001430440679824896,1.104036461074608,1.0,1.0,-0.0001430440679824896,0.9695482872749276,1.0,1.0,-0.0001430440679824896,0.9558086323254835,1.0,1.0,-0.0001430440679824896,0.9273669160641403
2015-11-27,176.0784912109375,0.0011463381856415822,1.0,1.0,0.0011463381856415822,1.1848361839652666,1.0,1.0,0.0011463381856415822,1.1053020602282786,1.0,1.0,0.0011463381856415822,0.9706597174994542,1.0,1.0,0.0011463381856415822,0.9569043122588841,1.0,1.0,0.0011463381856415822,0.9284299921721253
2015-11-30,175.3474884033203,-0.004151573554440957,1.0,1.0,-0.004151573554440957,1.1799172493975716,1.0,1.0,-0.004151573554440957,1.1007133174253658,1.0,1.0,-0.004151573554440957,0.9666299522859224,1.0,1.0,-0.004151573554440957,0.9529316536219795,1.0,1.0,-0.004151573554440957,0.9245755467694736
2015-12-01,177.01956176757812,0.00953577025529917,1.0,1.0,0.00953577025529917,1.1911686692080914,1.0,1.0,0.00953577025529917,1.1112094667372823,1.0,1.0,0.00953577025529917,0.9758475134328117,1.0,1.0,0.00953577025529917,0.962018590939921,1.0,1.0,0.00953577025529917,0.9333920867671349
2015-12-02,175.2130126953125,-0.010205364052576105,1.0,1.0,-0.010205364052576105,1.1790123592908002,1.0,1.0,-0.010205364052576105,1.0998691695905594,1.0,1.0,-0.010205364052576105,0.9658886342984287,1.0,1.0,-0.010205364052576105,0.9522008409940329,1.0,1.0,-0.010205364052576105,0.9238664807178826
2015-12-03,172.7595672607422,-0.014002643963646366,1.0,1.0,-0.014002643963646366,1.1625030689949123,1.0,1.0,-0.014002643963646366,1.0844680932021913,1.0,1.0,-0.014002643963646366,0.9523636396438152,0.0,1.0,-0.014002643963646366,0.9388675116357088,0.0,1.0,-0.014002643963646366,0.9109299073184431
2015-12-04,176.12890625,0.019503052957828615,1.0,1.0,0.019503052957828615,1.1851754279131583,1.0,1.0,0.019503052957828615,1.1056185318549892,1.0,1.0,0.019503052957828615,0.9709376381428989,1.0,0.0,-0.0002,0.9386797381333817,1.0,0.0,-0.0002,0.9107477213369795
2015-12-07,175.0618133544922,-0.006058590371265771,1.0,1.0,-0.006058590371265771,1.177994935477343,1.0,1.0,-0.006058590371265771,1.0989200420635996,1.0,1.0,-0.006058590371265771,0.9650551247173468,1.0,1.0,-0.00625859037126577,0.9328049261625978,1.0,1.0,-0.00625859037126577,0.9050477244175676
2015-12-08,173.88548278808594,-0.006719515489218897,1.0,1.0,-0.006719515489218897,1.1700793802621814,1.0,1.0,-0.006719515489218897,1.0915358318195403,1.0,1.0,-0.006719515489218897,0.9585704218588585,1.0,1.0,-0.006719515489218897,0.9265369290128286,1.0,1.0,-0.006719515489218897,0.8989662422148614
2015-12-09,172.53271484375,-0.007779648551711205,1.0,1.0,-0.007779648551711205,1.1609765739061375,1.0,1.0,-0.007779648551711205,1.0830440666663845,0.0,1.0,-0.007779648551711205,0.9511130808647311,0.0,1.0,-0.007779648551711205,0.919328797334927,0.0,1.0,-0.007779648551711205,0.8919726007905773
2015-12-10,172.97804260253906,0.002581120683067928,1.0,1.0,0.002581120683067928,1.163973194553604,1.0,1.0,0.002581120683067928,1.085839534107531,1.0,0.0,-0.0002,0.9509228582485582,0.0,0.0,-0.0002,0.9191449315754601,0.0,0.0,-0.0002,0.8917942062704192
2015-12-11,169.6255340576172,-0.019381121987980365,1.0,1.0,-0.019381121987980365,1.1414140880792214,0.0,1.0,-0.019381121987980365,1.0647947456376212,0.0,1.0,-0.019581121987980364,0.9323027217600341,0.0,0.0,-0.0,0.9191449315754601,0.0,0.0,-0.0,0.8917942062704192
2015-12-14,170.48255920410156,0.005052453637040655,1.0,1.0,0.005052453637040655,1.1471810298399068,0.0,0.0,-0.0002,1.0645817866884937,0.0,0.0,-0.0002,0.9321162612156821,0.0,0.0,0.0,0.9191449315754601,0.0,0.0,0.0,0.8917942062704192
2015-12-15,172.27223205566406,0.01049768879536761,1.0,1.0,0.01049768879536761,1.1592237792831155,0.0,0.0,0.0,1.0645817866884937,0.0,0.0,0.0,0.9321162612156821,0.0,0.0,0.0,0.9191449315754601,0.0,0.0,0.0,0.8917942062704192
2015-12-16,174.79295349121094,0.014632198152122244,1.0,1.0,0.014632198152122244,1.176185771324238,1.0,0.0,0.0,1.0645817866884937,1.0,0.0,0.0,0.9321162612156821,1.0,0.0,0.0,0.9191449315754601,1.0,0.0,0.0,0.8917942062704192
2015-12-17,172.1294403076172,-0.015238103884592125,1.0,1.0,-0.015238103884592125,1.1582629303532201,0.0,1.0,-0.015438103884592125,1.048146662471952,1.0,1.0,-0.015438103884592125,0.9177261535425169,1.0,1.0,-0.015438103884592125,0.9049550766368019,0.0,1.0,-0.015438103884592125,0.8780265946703391
2015-12-18,169.0629119873047,-0.01781524598483686,1.0,1.0,-0.01781524598483686,1.1376281913338595,0.0,0.0,-0.0002,1.0479370331394575,0.0,1.0,-0.01781524598483686,0.9013766363704387,0.0,1.0,-0.01781524598483686,0.8888330793412903,0.0,0.0,-0.0002,0.877850989351405
2015-12-21,170.4575958251953,0.008249496128372336,1.0,1.0,0.008249496128372336,1.1470130506937954,0.0,0.0,0.0,1.0479370331394575,1.0,0.0,-0.0002,0.9011963610431647,1.0,0.0,-0.0002,0.8886553127254221,0.0,0.0,0.0,0.877850989351405
2015-12-22,172.0043182373047,0.009073942434900673,1.0,1.0,0.009073942434900673,1.1574209810878708,0.0,0.0,0.0,1.0479370331394575,1.0,1.0,0.008873942434900672,0.9091935256736037,1.0,1.0,0.008873942434900672,0.8965411888150162,0.0,0.0,0.0,0.877850989351405
2015-12-23,174.1343231201172,0.012383438419690362,1.0,1.0,0.012383438419690362,1.17175383253283,1.0,0.0,0.0,1.0479370331394575,1.0,1.0,0.012383438419690362,0.9204524677103639,1.0,1.0,0.012383438419690362,0.907643451417423,1.0,0.0,0.0,0.877850989351405
2015-12-24,173.846923828125,-0.001650445970918346,1.0,1.0,-0.001650445970918346,1.169819916141018,1.0,1.0,-0.0018504459709183462,1.0459978822787086,1.0,1.0,-0.001650445970918346,0.9189333106436095,1.0,1.0,-0.001650445970918346,0.9061454349400007,1.0,1.0,-0.0018504459709183462,0.876226573525093
