split,model_family,target,accuracy,balanced_accuracy,precision,recall,f1,brier,true_positive_rate,predicted_positive_rate,is_degenerate_classifier,n_predictions,roc_auc,first_prediction_date,last_prediction_date
2,vrp_only_logistic_l2,next_5d_positive_return,0.50199203187251,0.5,0.50199203187251,1.0,0.6684350132625995,0.2685713980104056,0.50199203187251,1.0,1.0,251.0,0.6304761904761904,2022-02-03,2023-02-02
2,vrp_only_logistic_elasticnet,next_5d_positive_return,0.50199203187251,0.5,0.50199203187251,1.0,0.6684350132625995,0.2687516275626684,0.50199203187251,1.0,1.0,251.0,0.6252063492063492,2022-02-03,2023-02-02
2,vrp_only_random_forest,next_5d_positive_return,0.49800796812749004,0.49603174603174605,0.5,0.9920634920634921,0.6648936170212766,0.29774523874473424,0.50199203187251,0.9960159362549801,0.0,251.0,0.5296507936507936,2022-02-03,2023-02-02
3,vrp_only_baseline_majority,next_5d_positive_return,0.6334661354581673,0.5,0.6334661354581673,1.0,0.775609756097561,0.3665338645418327,0.6334661354581673,1.0,1.0,251.0,0.5,,
3,vrp_only_logistic,next_5d_positive_return,0.6334661354581673,0.5,0.6334661354581673,1.0,0.775609756097561,0.23370578288912797,0.6334661354581673,1.0,1.0,251.0,0.44250751982499315,2023-02-03,2024-02-02
3,vrp_only_logistic_l2,next_5d_positive_return,0.6334661354581673,0.5,0.6334661354581673,1.0,0.775609756097561,0.23370578288912797,0.6334661354581673,1.0,1.0,251.0,0.44250751982499315,2023-02-03,2024-02-02
3,vrp_only_logistic_elasticnet,next_5d_positive_return,0.6334661354581673,0.5,0.6334661354581673,1.0,0.775609756097561,0.2335508110307577,0.6334661354581673,1.0,1.0,251.0,0.44688269073010667,2023-02-03,2024-02-02
3,vrp_only_random_forest,next_5d_positive_return,0.601593625498008,0.49545392398140553,0.6311111111111111,0.8930817610062893,0.7395833333333334,0.24563546589493426,0.6334661354581673,0.896414342629482,0.0,251.0,0.46342630571506693,2023-02-03,2024-02-02
4,vrp_only_baseline_majority,next_5d_positive_return,0.6305220883534136,0.5,0.6305220883534136,1.0,0.7733990147783252,0.36947791164658633,0.6305220883534136,1.0,1.0,249.0,0.5,,
4,vrp_only_logistic,next_5d_positive_return,0.6305220883534136,0.5,0.6305220883534136,1.0,0.7733990147783252,0.23379304632984785,0.6305220883534136,1.0,1.0,249.0,0.469468291332041,2024-02-05,2025-01-31
4,vrp_only_logistic_l2,next_5d_positive_return,0.6305220883534136,0.5,0.6305220883534136,1.0,0.7733990147783252,0.23379304632984785,0.6305220883534136,1.0,1.0,249.0,0.469468291332041,2024-02-05,2025-01-31
4,vrp_only_logistic_elasticnet,next_5d_positive_return,0.6305220883534136,0.5,0.6305220883534136,1.0,0.7733990147783252,0.2337430944459872,0.6305220883534136,1.0,1.0,249.0,0.4601218499030739,2024-02-05,2025-01-31
4,vrp_only_random_forest,next_5d_positive_return,0.5823293172690763,0.47978399335364164,0.6199095022624435,0.8726114649681529,0.7248677248677249,0.2511164625190212,0.6305220883534136,0.8875502008032129,0.0,249.0,0.4563832733314871,2024-02-05,2025-01-31
