target,model_name,feature_group,train_start,train_end,test_start,test_end,n_predictions,first_prediction_date,last_prediction_date,positive_rate_actual,positive_rate_predicted,accuracy,balanced_accuracy,precision,recall,F1,Brier_score,average_predicted_probability,degenerate_classifier,ROC_AUC
next_5d_vol_expansion,random_forest,rv_only,2014-04-03,2025-04-03,2025-04-04,2026-04-03,250,2025-04-04,2026-04-02,0.312,0.296,0.576,0.49918008348240905,0.3108108108108108,0.2948717948717949,0.3026315789473684,0.2536132083675623,0.38937476837508145,False,0.4887447823494335
next_5d_vol_expansion,random_forest,rv_only,2014-04-03,2026-04-03,2026-04-04,2026-06-10,47,2026-04-06,2026-06-10,0.3404255319148936,0.3617021276595745,0.723404255319149,0.6995967741935484,0.5882352941176471,0.625,0.6060606060606061,0.18096742032925167,0.4134811946086609,False,0.7983870967741935
next_5d_vol_expansion,logistic,vix_only,2014-12-31,2019-12-31,2020-01-01,2020-12-31,253,2020-01-02,2020-12-31,0.31620553359683795,0.25691699604743085,0.6561264822134387,0.5772037572254335,0.4461538461538462,0.3625,0.4,0.23962987742821507,0.3948430155531091,False,0.6591040462427746
next_5d_vol_expansion,logistic,vix_only,2014-12-31,2020-12-31,2021-01-01,2021-12-31,252,2021-01-04,2021-12-31,0.4166666666666667,0.06746031746031746,0.6190476190476191,0.5482993197278911,0.7647058823529411,0.12380952380952381,0.21311475409836064,0.23465809769167062,0.27061756649644564,False,0.7287333981211532
next_5d_vol_expansion,logistic,vix_only,2014-12-31,2021-12-31,2022-01-01,2022-12-31,251,2022-01-03,2022-12-30,0.4262948207171315,0.16733067729083664,0.6533864541832669,0.6066653686396677,0.7380952380952381,0.2897196261682243,0.4161073825503356,0.23639886026859583,0.33819745110632216,False,0.6337616822429905
next_5d_vol_expansion,logistic,vix_only,2014-12-31,2022-12-31,2023-01-01,2023-12-31,250,2023-01-03,2023-12-29,0.408,0.048,0.624,0.5422628510863805,0.8333333333333334,0.09803921568627451,0.17543859649122806,0.23340512483183576,0.32586281876079265,False,0.6264573396926338
next_5d_vol_expansion,logistic,vix_only,2014-12-31,2023-12-31,2024-01-01,2024-12-31,252,2024-01-02,2024-12-31,0.3968253968253968,0.20238095238095238,0.6547619047619048,0.5975,0.6274509803921569,0.32,0.423841059602649,0.22666936972346347,0.4078205085549976,False,0.6853947368421053
next_5d_vol_expansion,logistic,vix_only,2014-12-31,2024-12-31,2025-01-01,2025-12-31,250,2025-01-02,2025-12-31,0.308,0.192,0.756,0.6615494332257339,0.6666666666666666,0.4155844155844156,0.512,0.18493402168713213,0.3937034850797845,False,0.7614293221229637
next_5d_vol_expansion,logistic,vix_only,2014-12-31,2025-12-31,2026-01-01,2026-06-10,110,2026-01-02,2026-06-10,0.44545454545454544,0.19090909090909092,0.6727272727272727,0.6406825025092004,0.8095238095238095,0.3469387755102041,0.4857142857142857,0.2176755838658301,0.3998039746829292,False,0.7039143526262964
next_5d_vol_expansion,random_forest,vix_only,2014-12-31,2019-12-31,2020-01-01,2020-12-31,253,2020-01-02,2020-12-31,0.31620553359683795,0.33201581027667987,0.6679841897233202,0.6228323699421965,0.47619047619047616,0.5,0.4878048780487805,0.23344158408746002,0.45459000033053065,False,0.6161127167630058
next_5d_vol_expansion,random_forest,vix_only,2014-12-31,2020-12-31,2021-01-01,2021-12-31,252,2021-01-04,2021-12-31,0.4166666666666667,0.08333333333333333,0.626984126984127,0.5591836734693878,0.7619047619047619,0.1523809523809524,0.25396825396825395,0.23129170898923923,0.2699587419961761,False,0.7152575315840621
next_5d_vol_expansion,random_forest,vix_only,2014-12-31,2021-12-31,2022-01-01,2022-12-31,251,2022-01-03,2022-12-30,0.4262948207171315,0.17131474103585656,0.6334661354581673,0.5869029075804777,0.6744186046511628,0.27102803738317754,0.38666666666666666,0.24121259416169918,0.35930107918155774,False,0.6093587746625129
next_5d_vol_expansion,random_forest,vix_only,2014-12-31,2022-12-31,2023-01-01,2023-12-31,250,2023-01-03,2023-12-29,0.408,0.092,0.644,0.5713434022257552,0.782608695652174,0.17647058823529413,0.288,0.23882183442387994,0.30322388144813694,False,0.6281134075251722
next_5d_vol_expansion,random_forest,vix_only,2014-12-31,2023-12-31,2024-01-01,2024-12-31,252,2024-01-02,2024-12-31,0.3968253968253968,0.2777777777777778,0.626984126984127,0.5847368421052632,0.5428571428571428,0.38,0.4470588235294118,0.22907542087225902,0.3961681516952275,False,0.6628289473684211
next_5d_vol_expansion,random_forest,vix_only,2014-12-31,2024-12-31,2025-01-01,2025-12-31,250,2025-01-02,2025-12-31,0.308,0.24,0.684,0.598716312589145,0.48333333333333334,0.37662337662337664,0.4233576642335766,0.2035170074223604,0.3722411762748844,False,0.6633886344869006
next_5d_vol_expansion,random_forest,vix_only,2014-12-31,2025-12-31,2026-01-01,2026-06-10,110,2026-01-02,2026-06-10,0.44545454545454544,0.16363636363636364,0.6818181818181818,0.6468718634994981,0.8888888888888888,0.32653061224489793,0.47761194029850745,0.20439094982563197,0.3586158724381368,False,0.7791903646704583
next_5d_vol_expansion,logistic,vrp_only,2015-02-02,2020-02-02,2020-02-03,2021-02-02,253,2020-02-03,2021-02-02,0.308300395256917,0.5731225296442688,0.6007905138339921,0.651025641025641,0.4206896551724138,0.782051282051282,0.547085201793722,0.2881779028129224,0.5347235043946492,False,0.7556043956043956
next_5d_vol_expansion,logistic,vrp_only,2015-02-02,2021-02-02,2021-02-03,2022-02-02,253,2021-02-03,2022-02-02,0.4031620553359684,0.2134387351778656,0.7154150197628458,0.6661472536034281,0.7777777777777778,0.4117647058823529,0.5384615384615384,0.1893462980275095,0.33486108210183096,False,0.7699649396182315
next_5d_vol_expansion,logistic,vrp_only,2015-02-02,2022-02-02,2022-02-03,2023-02-02,251,2022-02-03,2023-02-02,0.42231075697211157,0.08764940239043825,0.6573705179282868,0.595608327911516,0.9545454545454546,0.19811320754716982,0.328125,0.24056706476943962,0.23709319279151334,False,0.7115810019518544
next_5d_vol_expansion,logistic,vrp_only,2015-02-02,2023-02-02,2023-02-03,2024-02-02,251,2023-02-03,2024-02-02,0.4103585657370518,0.199203187250996,0.701195219123506,0.6521582261873524,0.78,0.3786407766990291,0.5098039215686274,0.20652370052376443,0.36050534608210416,False,0.7356992915245342
next_5d_vol_expansion,logistic,vrp_only,2015-02-02,2024-02-02,2024-02-03,2025-02-02,249,2024-02-05,2025-01-31,0.37349397590361444,0.28112449799196787,0.7389558232931727,0.6961331679073615,0.7,0.5268817204301075,0.6012269938650306,0.20235746380723738,0.37642249673205047,False,0.7311827956989247
next_5d_vol_expansion,logistic,vrp_only,2015-02-02,2025-02-02,2025-02-03,2026-02-02,251,2025-02-03,2026-02-02,0.3187250996015936,0.3187250996015936,0.7051792828685259,0.660562865497076,0.5375,0.5375,0.5375,0.19320186497414218,0.4137979356636912,False,0.7267543859649124
next_5d_vol_expansion,logistic,vrp_only,2015-02-02,2026-02-02,2026-02-03,2026-06-10,89,2026-02-03,2026-06-10,0.4606741573033708,0.47191011235955055,0.7640449438202247,0.7634654471544715,0.7380952380952381,0.7560975609756098,0.7469879518072289,0.16767529005767803,0.4743267359267535,False,0.850609756097561
next_5d_vol_expansion,random_forest,vrp_only,2015-02-02,2020-02-02,2020-02-03,2021-02-02,253,2020-02-03,2021-02-02,0.308300395256917,0.5731225296442688,0.6086956521739131,0.6602930402930403,0.42758620689655175,0.7948717948717948,0.5560538116591929,0.22400986709063744,0.4973929255477149,False,0.7525274725274724
next_5d_vol_expansion,random_forest,vrp_only,2015-02-02,2021-02-02,2021-02-03,2022-02-02,253,2021-02-03,2022-02-02,0.4031620553359684,0.1857707509881423,0.6956521739130435,0.6400467471756914,0.7659574468085106,0.35294117647058826,0.48322147651006714,0.19196470839230106,0.37188473256226445,False,0.7594143617711986
next_5d_vol_expansion,random_forest,vrp_only,2015-02-02,2022-02-02,2022-02-03,2023-02-02,251,2022-02-03,2023-02-02,0.42231075697211157,0.12749003984063745,0.6812749003984063,0.6264476252439818,0.90625,0.27358490566037735,0.42028985507246375,0.23155244011201778,0.2760172458467306,False,0.6854261548471048
