target,model_name,feature_group,n_predictions,first_prediction_date,last_prediction_date,mse,rmse,mae,r2,OOS_R2_vs_rv21_baseline,information_coefficient,directional_vol_hit_rate,train_start,train_end,test_start,test_end
next_5d_realized_volatility,linear,extreme_vrp,249,2024-02-05,2025-01-31,0.00792204873752374,0.08900589158883664,0.06275487202938797,-1.7474054921461342,-1.113256779557843,0.17902681694520015,0.5381526104417671,2015-02-02,2024-02-02,2024-02-03,2025-02-02
next_5d_realized_volatility,linear,extreme_vrp,251,2025-02-03,2026-02-02,0.0138088574977521,0.11751109521126973,0.06464572181274152,0.25832825966619843,0.3382278601230081,0.4079263896793777,0.601593625498008,2015-02-02,2025-02-02,2025-02-03,2026-02-02
next_5d_realized_volatility,linear,extreme_vrp,89,2026-02-03,2026-06-10,0.0022735018179911985,0.0476812522695367,0.0359148106816788,0.24894408157333936,0.4764335655620461,0.6331460674157303,0.8651685393258427,2015-02-02,2026-02-02,2026-02-03,2026-06-10
next_5d_realized_volatility,ridge,extreme_vrp,253,2020-02-03,2021-02-02,0.05821858299159637,0.24128527305162323,0.13939673037878592,0.0015506931655876466,-0.3037762340768535,0.3404366944250546,0.7430830039525692,2015-02-02,2020-02-02,2020-02-03,2021-02-02
next_5d_realized_volatility,ridge,extreme_vrp,253,2021-02-03,2022-02-02,0.0048875369613356244,0.06991092161698073,0.05549915636368669,-0.20574904060283594,-0.04294074210791132,0.0452137158744485,0.6245059288537549,2015-02-02,2021-02-02,2021-02-03,2022-02-02
next_5d_realized_volatility,ridge,extreme_vrp,251,2022-02-03,2023-02-02,0.016212223744109435,0.1273272309606607,0.10236936516964985,-1.2287997168566696,-0.9185097405614409,0.19617150445835704,0.6175298804780877,2015-02-02,2022-02-02,2022-02-03,2023-02-02
next_5d_realized_volatility,ridge,extreme_vrp,251,2023-02-03,2024-02-02,0.0022669276715972025,0.047612263878093454,0.03738698129676808,-0.1737110075807904,-0.0030547414340649226,0.14962929235439196,0.6613545816733067,2015-02-02,2023-02-02,2023-02-03,2024-02-02
next_5d_realized_volatility,ridge,extreme_vrp,249,2024-02-05,2025-01-31,0.007918085548077252,0.08898362516821424,0.06274880147202415,-1.7460310385404503,-1.11219957361984,0.1786739214924213,0.5381526104417671,2015-02-02,2024-02-02,2024-02-03,2025-02-02
next_5d_realized_volatility,ridge,extreme_vrp,251,2025-02-03,2026-02-02,0.01380897287576045,0.11751158613413594,0.06464349111450049,0.2583220627300462,0.33822233077697106,0.4079263896793777,0.601593625498008,2015-02-02,2025-02-02,2025-02-03,2026-02-02
next_5d_realized_volatility,ridge,extreme_vrp,89,2026-02-03,2026-06-10,0.0022732976392035357,0.0476791111410808,0.03591429868462649,0.24901153244831908,0.4764805860478001,0.6331460674157303,0.8651685393258427,2015-02-02,2026-02-02,2026-02-03,2026-06-10
next_5d_realized_volatility,random_forest,extreme_vrp,253,2020-02-03,2021-02-02,0.06101869918565391,0.24701963319876805,0.14472176718018726,-0.046471328830655745,-0.3664834447108347,0.3067378327743892,0.7272727272727273,2015-02-02,2020-02-02,2020-02-03,2021-02-02
next_5d_realized_volatility,random_forest,extreme_vrp,253,2021-02-03,2022-02-02,0.006739277824964232,0.08209310461277629,0.06103357812302171,-0.662571114262432,-0.4380796445412152,0.11274633852766333,0.6245059288537549,2015-02-02,2021-02-02,2021-02-03,2022-02-02
next_5d_realized_volatility,random_forest,extreme_vrp,251,2022-02-03,2023-02-02,0.018618609840412696,0.1364500268978086,0.11000578538531719,-1.5596212460153245,-1.2032748189478562,0.07461050443666313,0.6135458167330677,2015-02-02,2022-02-02,2022-02-03,2023-02-02
next_5d_realized_volatility,random_forest,extreme_vrp,251,2023-02-03,2024-02-02,0.0026416778071197437,0.05139725485976604,0.03929627287981589,-0.3677394120447479,-0.16887163316758014,0.12210983317068261,0.6135458167330677,2015-02-02,2023-02-02,2023-02-03,2024-02-02
next_5d_realized_volatility,random_forest,extreme_vrp,249,2024-02-05,2025-01-31,0.009337845088262667,0.0966325260368509,0.06803091272806513,-2.238410634711874,-1.4909294417444068,0.07502679278553746,0.5582329317269076,2015-02-02,2024-02-02,2024-02-03,2025-02-02
next_5d_realized_volatility,random_forest,extreme_vrp,251,2025-02-03,2026-02-02,0.013540162457263182,0.11636220373155186,0.0652133490247611,0.2727598314548795,0.35110473222829497,0.35912661187914047,0.601593625498008,2015-02-02,2025-02-02,2025-02-03,2026-02-02
next_5d_realized_volatility,random_forest,extreme_vrp,89,2026-02-03,2026-06-10,0.0032309503957470747,0.05684144962742483,0.040763133851391416,-0.06735099029430192,0.25594201633766156,0.35991113306660605,0.7640449438202247,2015-02-02,2026-02-02,2026-02-03,2026-06-10
next_5d_realized_volatility,linear,combined,253,2020-02-03,2021-02-02,0.04644419995901723,0.21550916444322554,0.14440869981452606,0.2034814852458151,-0.04009477740158007,0.2558877274728011,0.5810276679841897,2015-02-02,2020-02-02,2020-02-03,2021-02-02
next_5d_realized_volatility,linear,combined,253,2021-02-03,2022-02-02,0.0035720699621614475,0.05976679648568633,0.04608282883030209,0.11877496499476325,0.23776386211103406,0.45392893082040636,0.7075098814229249,2015-02-02,2021-02-02,2021-02-03,2022-02-02
next_5d_realized_volatility,linear,combined,251,2022-02-03,2023-02-02,0.007417966871130664,0.08612761967644679,0.06682909456057332,-0.01979609478529154,0.12217830681018593,0.42632669322709166,0.6693227091633466,2015-02-02,2022-02-02,2022-02-03,2023-02-02
next_5d_realized_volatility,linear,combined,251,2023-02-03,2024-02-02,0.001900721843758237,0.04359726876489211,0.03357338038239936,0.01589354688300182,0.15898152313535419,0.42876038702333524,0.6733067729083665,2015-02-02,2023-02-02,2023-02-03,2024-02-02
next_5d_realized_volatility,linear,combined,249,2024-02-05,2025-01-31,0.004245449446223974,0.06515711355043265,0.046171640869552034,-0.4723427627927488,-0.13250058435102097,0.373090555771473,0.7269076305220884,2015-02-02,2024-02-02,2024-02-03,2025-02-02
next_5d_realized_volatility,linear,combined,251,2025-02-03,2026-02-02,0.011293409779980933,0.10627045581901365,0.06107941254865538,0.3934325930161321,0.4587775304493985,0.5667463479415671,0.6294820717131474,2015-02-02,2025-02-02,2025-02-03,2026-02-02
next_5d_realized_volatility,linear,combined,89,2026-02-03,2026-06-10,0.003150926999489487,0.056133118561946006,0.04435148629770386,-0.0409150996799863,0.2743706641261292,0.43081375553285667,0.6179775280898876,2015-02-02,2026-02-02,2026-02-03,2026-06-10
next_5d_realized_volatility,ridge,combined,253,2020-02-03,2021-02-02,0.04397561025237582,0.2097036247955095,0.14160652406446655,0.24581782451759804,0.015188062300485528,0.27520670588113244,0.5849802371541502,2015-02-02,2020-02-02,2020-02-03,2021-02-02
next_5d_realized_volatility,ridge,combined,253,2021-02-03,2022-02-02,0.003556949132634741,0.05964016375425826,0.04604484790906856,0.1225052540624828,0.24099046260380275,0.45665586268119646,0.7075098814229249,2015-02-02,2021-02-02,2021-02-03,2022-02-02
next_5d_realized_volatility,ridge,combined,251,2022-02-03,2023-02-02,0.007419541303120389,0.08613675930240462,0.06683384387054697,-0.020012542178832193,0.12199199288090534,0.4250502750901157,0.6693227091633466,2015-02-02,2022-02-02,2022-02-03,2023-02-02
next_5d_realized_volatility,ridge,combined,251,2023-02-03,2024-02-02,0.0018971598700989662,0.04355639872738524,0.033551585985285924,0.017737773209664187,0.1605576010193378,0.42867691140201103,0.6733067729083665,2015-02-02,2023-02-02,2023-02-03,2024-02-02
next_5d_realized_volatility,ridge,combined,249,2024-02-05,2025-01-31,0.004251935214307755,0.06520686477900739,0.04620572211177227,-0.47459205908522994,-0.1342307041505586,0.3731092110376992,0.7269076305220884,2015-02-02,2024-02-02,2024-02-03,2025-02-02
next_5d_realized_volatility,ridge,combined,251,2025-02-03,2026-02-02,0.011277120005472695,0.10619378515465344,0.06103125049796346,0.3943075144505185,0.4595581974188553,0.5662986150635553,0.6334661354581673,2015-02-02,2025-02-02,2025-02-03,2026-02-02
next_5d_realized_volatility,ridge,combined,89,2026-02-03,2026-06-10,0.0031495435917749588,0.056120794646681176,0.04437311819471211,-0.040458088146777316,0.27468925012361456,0.4320054477357848,0.6179775280898876,2015-02-02,2026-02-02,2026-02-03,2026-06-10
next_5d_realized_volatility,random_forest,combined,253,2020-02-03,2021-02-02,0.05098464844598154,0.22579780434269403,0.1411010089512868,0.12561274623543328,-0.141775864868253,0.1659567428440327,0.5968379446640316,2015-02-02,2020-02-02,2020-02-03,2021-02-02
