split,model_family,target,mse,rmse,mae,r2,oos_r2,information_coefficient,directional_hit_rate,n_predictions,first_prediction_date,last_prediction_date,newey_west_tstat
6,vrp_only_elastic_net,next_5d_return,0.00040268700086538913,0.020067062586870785,0.01654251883137605,-0.002502656680654969,0.008219474655576486,0.03133312620528125,0.5955056179775281,89.0,2026-02-03,2026-06-10,1.2953248194901392
0,combined_baseline_mean,next_5d_return,0.0016806308367307698,0.04099549776171488,0.027883168856491183,-0.0021790336066660476,0.0,,0.6245059288537549,253.0,2020-02-03,2021-02-02,
0,combined_linear,next_5d_return,0.013873901183125766,0.1177875255836787,0.07833328420537017,-7.273163014851161,-7.2551747117254095,0.11141665592196234,0.6126482213438735,253.0,2020-02-03,2021-02-02,-1.8544701583613667
0,combined_ridge,next_5d_return,0.0018030666636738306,0.042462532468917,0.02697983366992516,-0.07518889159744035,-0.07285111296733549,0.17881929778540528,0.6403162055335968,253.0,2020-02-03,2021-02-02,-1.8544701583613667
0,combined_elastic_net,next_5d_return,0.0016735535912277685,0.040909089347329265,0.027129757570052638,0.0020412073313091916,0.004211064886068705,0.17397425784525855,0.6245059288537549,253.0,2020-02-03,2021-02-02,-1.8544701583613667
1,combined_baseline_mean,next_5d_return,0.0003208366969421132,0.01791191494347026,0.013519612055280107,-0.001217478025065999,0.0,,0.6284584980237155,253.0,2021-02-03,2022-02-02,
1,combined_linear,next_5d_return,0.0003252994870034491,0.018036060739625187,0.013563889847019006,-0.015144262126612462,-0.013909849165854915,0.05802214446514344,0.5889328063241107,253.0,2021-02-03,2022-02-02,-0.8246738584623078
1,combined_ridge,next_5d_return,0.0003153993314312185,0.01775948567473784,0.013386801130287285,0.015750610213607907,0.016947455084527663,0.07043413051629417,0.5770750988142292,253.0,2021-02-03,2022-02-02,-0.8246738584623078
1,combined_elastic_net,next_5d_return,0.0003204367604078829,0.01790074748181994,0.013578111212529028,3.058197551553121e-05,0.0012465423626477623,0.01954795176294663,0.6284584980237155,253.0,2021-02-03,2022-02-02,-0.8246738584623078
2,combined_baseline_mean,next_5d_return,0.0010195223948449056,0.031929960771114416,0.025492469393251546,-0.01477189141401758,0.0,,0.50199203187251,251.0,2022-02-03,2023-02-02,
2,combined_linear,next_5d_return,0.0016760799163917238,0.0409399550120872,0.032250944474088675,-0.6682701581818782,-0.6439853845944177,0.3458463289698349,0.5059760956175299,251.0,2022-02-03,2023-02-02,-0.9321932917878779
2,combined_ridge,next_5d_return,0.0011392063991145294,0.033752131771408594,0.026668976946751147,-0.1338982235071593,-0.1173922268650418,0.3855276038702333,0.50199203187251,251.0,2022-02-03,2023-02-02,-0.9321932917878779
2,combined_elastic_net,next_5d_return,0.0010296132606970275,0.032087587330571106,0.02555066650256377,-0.0248157384923553,-0.009897640211872893,0.16385657370517925,0.50199203187251,251.0,2022-02-03,2023-02-02,-0.9321932917878779
3,combined_baseline_mean,next_5d_return,0.0003187708640397857,0.017854155371783503,0.014035745666634203,-0.010926726153132504,0.0,,0.6334661354581673,251.0,2023-02-03,2024-02-02,
3,combined_linear,next_5d_return,0.00033585103649271794,0.01832623901657724,0.014688392798325386,-0.06509354240839293,-0.05358134754373434,-0.026911781445645988,0.50199203187251,251.0,2023-02-03,2024-02-02,-1.1087941365227683
3,combined_ridge,next_5d_return,0.0003409393684387656,0.018464543548075203,0.014469603721228167,-0.08123030814227872,-0.06954369705574193,-0.015912730032251944,0.5816733067729084,251.0,2023-02-03,2024-02-02,-1.1087941365227683
3,combined_elastic_net,next_5d_return,0.0003203088309784703,0.017897173826570224,0.014107286393294666,-0.015804122608230387,-0.004824678514196323,0.0057681654335040786,0.6334661354581673,251.0,2023-02-03,2024-02-02,-1.1087941365227683
4,combined_baseline_mean,next_5d_return,0.0003151116897175691,0.017751385571767888,0.013576109432893757,-0.009138483064013325,0.0,,0.6305220883534136,249.0,2024-02-05,2025-01-31,
4,combined_linear,next_5d_return,0.00034748165197164086,0.018640859743360574,0.014713903572867037,-0.11280259858823038,-0.1027253615474708,0.09230858919549163,0.4779116465863454,249.0,2024-02-05,2025-01-31,-1.1309859367001753
4,combined_ridge,next_5d_return,0.0003361154723243057,0.018333452275125537,0.01435542843741793,-0.07640265005625002,-0.06665504102866526,0.21874076952973184,0.46586345381526106,249.0,2024-02-05,2025-01-31,-1.1309859367001753
4,combined_elastic_net,next_5d_return,0.00031272308096422317,0.01768397808651162,0.01356759888736115,-0.0014890143434291847,0.0075801972166974485,0.14110454722114266,0.6305220883534136,249.0,2024-02-05,2025-01-31,-1.1309859367001753
5,combined_baseline_mean,next_5d_return,0.0005322861755446022,0.023071327996987998,0.015992082820120306,-0.00028277641697282974,0.0,,0.6334661354581673,251.0,2025-02-03,2026-02-02,
5,combined_linear,next_5d_return,0.0005799806881865479,0.024082788214543346,0.016453180184886916,-0.08991125394887178,-0.08960313987705515,0.1694706886738759,0.6334661354581673,251.0,2025-02-03,2026-02-02,-1.2459864569854853
5,combined_ridge,next_5d_return,0.0004907500940248815,0.022152880039057708,0.01536844444612397,0.07777265476441908,0.07803336518598014,0.25677556440903054,0.5976095617529881,251.0,2025-02-03,2026-02-02,-1.2459864569854853
5,combined_elastic_net,next_5d_return,0.0005212485925071525,0.02283086928934491,0.015863919471281508,0.02045926933376807,0.020736182047479845,0.2471052931132612,0.6334661354581673,251.0,2025-02-03,2026-02-02,-1.2459864569854853
6,combined_baseline_mean,next_5d_return,0.00040602430736935957,0.020150044847825017,0.01647533862653134,-0.010810992011068166,0.0,,0.5955056179775281,89.0,2026-02-03,2026-06-10,
6,combined_linear,next_5d_return,0.0004654774074451945,0.021574925433131734,0.018226528332238943,-0.15882145831824634,-0.14642744041861167,-0.18348655090228128,0.4606741573033708,89.0,2026-02-03,2026-06-10,-1.5906397716711376
6,combined_ridge,next_5d_return,0.0004531384549570266,0.02128704899597468,0.01808075102759781,-0.12810322648195305,-0.11603775126893412,-0.24218590398365683,0.42696629213483145,89.0,2026-02-03,2026-06-10,-1.5906397716711376
6,combined_elastic_net,next_5d_return,0.00040268700086538913,0.020067062586870785,0.01654251883137605,-0.002502656680654969,0.008219474655576486,0.03133312620528125,0.5955056179775281,89.0,2026-02-03,2026-06-10,-1.5906397716711376
0,price_only_baseline_mean,next_21d_return,0.007368399516529959,0.08583938208380788,0.05832212253464386,-0.007765567505854776,0.0,,0.7549407114624506,253.0,2020-01-02,2020-12-31,
0,price_only_linear,next_21d_return,0.007274915387333594,0.08529311453648292,0.06226473202514417,0.005020124461718178,0.012687168901013957,0.179963423544389,0.48616600790513836,253.0,2020-01-02,2020-12-31,-1.068010658618851
0,price_only_ridge,next_21d_return,0.006424098871034648,0.08015047642425245,0.055019077644889815,0.12138509455703594,0.12815546217016416,0.428619594487448,0.6403162055335968,253.0,2020-01-02,2020-12-31,-1.068010658618851
0,price_only_elastic_net,next_21d_return,0.007368399516529959,0.08583938208380788,0.05832212253464386,-0.007765567505854776,0.0,,0.7549407114624506,253.0,2020-01-02,2020-12-31,-1.068010658618851
1,price_only_baseline_mean,next_21d_return,0.000931626714290118,0.030522560742672265,0.02335769411390552,-0.03635631832349606,0.0,,0.7658730158730159,252.0,2021-01-04,2021-12-31,
